;index;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
50;50;\x1e535a3bca0638d2074c98f16fe3172ad2f9dd92;0.6967571946244115;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11282601;2020-11-18 14:58:36+00:00;168;\xa0e38ff6b84a989fd353f444a6b6ffb30025ec74e911327c5f4ff183b8052efa;6999999999999999827277
51;51;\x6a2db04a65935e84c925c2778e9e320ffaf72c54;0.007435511013519977;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11283996;2020-11-18 20:07:30+00:00;210;\x9f7dce0f2ad522a5cdd3c9babdc94861282898b29be27599ee9a47e8a7c5deb7;74734984897067436305
52;52;\xaae3131ae7876251c85f6f16e198a6aef954085f;0.4;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11289536;2020-11-19 16:26:51+00:00;60;\x9c7988fae731131a35a1aa06b07d2b032bd140509ea258568bca2be898ad2fe2;4020195884982904279797
53;53;\x07f67cf4b8bfa3a1117cb802ccb9b54687c48047;0.1788983553153012;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11290706;2020-11-19 20:42:58+00:00;108;\x96f39780a94ac95581961654b00433b13343ccba0e49d272d49e14f01d9565e7;1797405285176101432566
54;54;\x6c4d27d3ae62b6c1eaa9b732377f7ddf3cf2b1e6;0.9953145058087086;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11290949;2020-11-19 21:32:50+00:00;232;\x6d6d1208ec0a1fe5fcfeffb3d2f292c8f10c609d8b1053ef5f21e213bdbcc0e5;9999999999999999999438
55;55;\x46331769a8a01947e07c310704893076a3409d36;0.014877667653208838;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11291086;2020-11-19 22:02:26+00:00;283;\x5c040732fb2106cf9d20c92bfabdd4b23eb7b4dc449278a9d7cb5d66d5b21636;149477050383391134002
56;56;\xaa6ad7089a5ce90b36bd2a839acdca240f3e51c8;0.09931693783657966;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11293790;2020-11-20 08:07:44+00:00;315;\xcdd21c6824663534f6666da89a8abd71fa814d0436002756680dc4ccfc8e7c0d;997832111945830875614
57;57;\x3302bf726082fc8f3adb9c2f85279c73812f9b00;0.8957944225568694;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11293918;2020-11-20 08:36:31+00:00;86;\x2544ef823232b9d4148c0cbe31d4b81e86ab8916e84a96e69ab6bddbc5f31b98;8999999999999999999610
58;58;\x6298c723dfc6fc60fe3c914b344bdfbc7f720fdf;0.61709;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11295141;2020-11-20 13:08:03+00:00;222;\x2623e92ea4ee71a77e76a2f6e700947a96ddefcd7060840d67857582d232af9d;6199958872999437039241
59;59;\x71a5495b8cdcb160c65abae216725ff713507d16;0.49762357785424804;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11295825;2020-11-20 15:32:50+00:00;285;\x8fcd27ac56baef098e1a66f2a438a839288fae5555158ec1dbda2b275683b4a2;4999999999999999999253
